AL, 99, 2024111218, 03, AP02,  54, 173N,  822W,  25, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP02,  60, 178N,  826W,  28, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP02,  66, 178N,  829W,  35,  999, XX,  34, NEQ,    0,    0,    0,   73, 
AL, 99, 2024111218, 03, AP02,  72, 171N,  828W,  39,  998, XX,  34, NEQ,  125,   66,   95,   95, 
AL, 99, 2024111218, 03, AP02,  78, 169N,  819W,  43,  996, XX,  34, NEQ,    0,   90,  117,  102, 
AL, 99, 2024111218, 03, AP02,  84, 170N,  810W,  42,  992, XX,  34, NEQ,  124,   79,  109,  126, 
AL, 99, 2024111218, 03, AP02,  90, 171N,  806W,  43,  988, XX,  34, NEQ,  118,  105,  161,   96, 
AL, 99, 2024111218, 03, AP02,  96, 171N,  803W,  51,  982, XX,  34, NEQ,  153,   80,  104,  120, 
AL, 99, 2024111218, 03, AP02,  96, 171N,  803W,  51,  982, XX,  50, NEQ,    0,    0,   47,   50, 
AL, 99, 2024111218, 03, AP02, 102, 169N,  799W,  67,  973, XX,  34, NEQ,  160,   99,   92,  159, 
AL, 99, 2024111218, 03, AP02, 102, 169N,  799W,  67,  973, XX,  50, NEQ,   49,   43,   53,   77, 
AL, 99, 2024111218, 03, AP02, 102, 169N,  799W,  67,  973, XX,  64, NEQ,    0,    0,    0,   47, 
AL, 99, 2024111218, 03, AP02, 108, 168N,  796W,  71,  966, XX,  34, NEQ,  203,  144,   92,  170, 
AL, 99, 2024111218, 03, AP02, 108, 168N,  796W,  71,  966, XX,  50, NEQ,   56,   66,   58,   75, 
AL, 99, 2024111218, 03, AP02, 108, 168N,  796W,  71,  966, XX,  64, NEQ,   44,   51,   33,   49, 
AL, 99, 2024111218, 03, AP02, 114, 168N,  796W,  81,  959, XX,  34, NEQ,  241,  161,  111,  156, 
AL, 99, 2024111218, 03, AP02, 114, 168N,  796W,  81,  959, XX,  50, NEQ,   75,   56,   65,   80, 
AL, 99, 2024111218, 03, AP02, 114, 168N,  796W,  81,  959, XX,  64, NEQ,   55,   44,   39,   54, 
AL, 99, 2024111218, 03, AP02, 120, 168N,  799W,  81,  953, XX,  34, NEQ,  209,  152,  143,  164, 
AL, 99, 2024111218, 03, AP02, 120, 168N,  799W,  81,  953, XX,  50, NEQ,  102,   72,   73,  100, 
AL, 99, 2024111218, 03, AP02, 120, 168N,  799W,  81,  953, XX,  64, NEQ,   57,   55,   49,   57, 
AL, 99, 2024111218, 03, AP02, 126, 170N,  804W,  86,  949, XX,  34, NEQ,  206,  147,  123,  175, 
AL, 99, 2024111218, 03, AP02, 126, 170N,  804W,  86,  949, XX,  50, NEQ,   96,   80,   76,  100, 
AL, 99, 2024111218, 03, AP02, 126, 170N,  804W,  86,  949, XX,  64, NEQ,   65,   59,   59,   68, 
AL, 99, 2024111218, 03, AP02, 132, 173N,  811W,  89,  949, XX,  34, NEQ,  199,  157,  154,  177, 
AL, 99, 2024111218, 03, AP02, 132, 173N,  811W,  89,  949, XX,  50, NEQ,  100,   89,   87,  102, 
AL, 99, 2024111218, 03, AP02, 132, 173N,  811W,  89,  949, XX,  64, NEQ,   61,   63,   59,   68, 
AL, 99, 2024111218, 03, AP02, 138, 179N,  819W,  84,  948, XX,  34, NEQ,  207,  169,  159,  196, 
AL, 99, 2024111218, 03, AP02, 138, 179N,  819W,  84,  948, XX,  50, NEQ,  102,   93,   93,  103, 
AL, 99, 2024111218, 03, AP02, 138, 179N,  819W,  84,  948, XX,  64, NEQ,   71,   71,   63,   69, 
AL, 99, 2024111218, 03, AP02, 144, 188N,  826W,  87,  952, XX,  34, NEQ,  198,  187,  178,  141, 
AL, 99, 2024111218, 03, AP02, 144, 188N,  826W,  87,  952, XX,  50, NEQ,   87,  113,  113,   88, 
AL, 99, 2024111218, 03, AP02, 144, 188N,  826W,  87,  952, XX,  64, NEQ,   68,   70,   55,   53, 
AL, 99, 2024111218, 03, AP02, 150, 197N,  831W,  81,  952, XX,  34, NEQ,  188,  184,  166,  139, 
AL, 99, 2024111218, 03, AP02, 150, 197N,  831W,  81,  952, XX,  50, NEQ,   99,  113,   82,   83, 
AL, 99, 2024111218, 03, AP02, 150, 197N,  831W,  81,  952, XX,  64, NEQ,   75,   69,   53,   55, 
AL, 99, 2024111218, 03, AP02, 156, 207N,  834W,  85,  952, XX,  34, NEQ,  175,  171,  166,  149, 
AL, 99, 2024111218, 03, AP02, 156, 207N,  834W,  85,  952, XX,  50, NEQ,   97,  100,   84,   79, 
AL, 99, 2024111218, 03, AP02, 156, 207N,  834W,  85,  952, XX,  64, NEQ,   69,   72,   60,   58, 
AL, 99, 2024111218, 03, AP02, 162, 217N,  836W,  83,  951, XX,  34, NEQ,  201,  200,  171,  148, 
AL, 99, 2024111218, 03, AP02, 162, 217N,  836W,  83,  951, XX,  50, NEQ,   93,  101,   79,   81, 
AL, 99, 2024111218, 03, AP02, 162, 217N,  836W,  83,  951, XX,  64, NEQ,   73,   68,   59,    0, 
AL, 99, 2024111218, 03, AP02, 168, 225N,  835W,  71,  957, XX,  34, NEQ,  166,  176,  160,  143, 
AL, 99, 2024111218, 03, AP02, 168, 225N,  835W,  71,  957, XX,  50, NEQ,   95,   90,   79,   81, 
AL, 99, 2024111218, 03, AP02, 168, 225N,  835W,  71,  957, XX,  64, NEQ,   67,   63,    0,   53, 
AL, 99, 2024111218, 03, AP02, 174, 233N,  832W,  71,  962, XX,  34, NEQ,  156,  167,  130,  138, 
AL, 99, 2024111218, 03, AP02, 174, 233N,  832W,  71,  962, XX,  50, NEQ,  103,   69,   76,   80, 
AL, 99, 2024111218, 03, AP02, 174, 233N,  832W,  71,  962, XX,  64, NEQ,   63,   62,   48,   56, 
AL, 99, 2024111218, 03, AP02, 180, 239N,  827W,  70,  964, XX,  34, NEQ,  164,  172,  113,  130, 
AL, 99, 2024111218, 03, AP02, 180, 239N,  827W,  70,  964, XX,  50, NEQ,  102,   97,   76,   85, 
